5125|94751875|122024|C|Wells Fargo Bank, N.A.||FANNIE MAE|4.000||225000.00|223000.00|0.00|360|082019|102019|||||74|74|2|44|701|775|N|R|SF|1|P|FL|38940|349||FRM|N|N||||||NA|01|112022|234859.40|||0.00|||||||||||||||0.00|||||690|761||||||0.00||0.00|7|0.00|N|112022||||A|N|||||||||||||N||7|N|CIRT 2020-1|N|7|||7|
5125|94751876|122024|R|Movement Mortgage, LLC||FANNIE MAE|4.125||111000.00|110000.00|0.00|360|072019|092019|||||80|80|1|27|754||N|P|CO|1|P|FL|27260|320||FRM|N|N||||||NA|01|122020|48121.47|||0.00||||||||||||||||||||740|||||||0.00||0.00|7||N|122020||||A|N|||||||||||||N||7|N|CIRT 2020-1|N|7|||7|
5125|94751877|122024|R|Movement Mortgage, LLC|New Residential Mortgage LLC|FANNIE MAE|3.990|3.990|215000.00|213000.00|192317.97|360|052019|072019|66|294|294|062049|80|80|2|38|794|799|Y|P|SF|2|P|VA|47260|236||FRM|N|N|||00|000000000000000000000000000000000000000000000000|N|NA||||||385.42||||||||||||||||||||787|802|802|807||N||0.00||0.00|7||N|||||A|N|||||||||||||N||7|N|CIRT 2020-1||7|||7|192317.97
5125|94751878|122024|R|Other||FANNIE MAE|3.990||155000.00|154000.00|0.00|360|082019|102019|||||65|65|1|23|798||N|P|PU|1|P|GA|12060|301||FRM|N|N||||||NA|01|042021|150836.48|||0.00||||||||||||||||||||801|||||||0.00||0.00|7||N|042021||||A|N|||||||||||||N||7|N|CIRT 2020-1|N|7|||7|
5125|94751879|122024|C|United Wholesale Mortgage, LLC|Lakeview Loan Servicing, LLC|FANNIE MAE|5.250|5.250|161000.00|160000.00|147378.68|360|062019|082019|65|295|295|072049|75|75|1|28|807||N|C|SF|1|I|TX|19100|750||FRM|N|N|||00|000000000000000000000000000000000000000000000000|N|NA||||||244.58||||||||||||||||||||801||737|||Y||0.00||0.00|7||N|||||A|N|||||||||||||N||7|N|CIRT 2020-1||7|||7|147378.68
5125|94751880|122024|R|Other||FANNIE MAE|3.875||169000.00|168000.00|0.00|360|082019|102019|||||80|80|1|44|724||N|P|SF|1|S|NH|14460|038||FRM|N|N||||||NA|01|112021|149400.28|||0.00||||||||||||||||||||710|||||||0.00||0.00|7||N|112021||||W|N|||||||||||||N||7|N|CIRT 2020-1|N|7|||7|
5125|94751881|122024|C|Wells Fargo Bank, N.A.||FANNIE MAE|4.625||208000.00|207000.00|0.00|360|062019|082019|||||80|80|2|40|691|736|N|R|SF|1|P|CA|40140|923||FRM|N|N||||||NA|01|052020|205552.84|||0.00||||||||||||||||||||691|760||||||0.00||0.00|7||N|052020||||A|N|||||||||||||||7|N|CIRT 2020-1|N|7|||7|
5125|94751882|122024|R|Other||FANNIE MAE|3.750||272000.00|270000.00|0.00|360|062019|082019|||||80|80|2|33|792|787|N|P|PU|1|S|FL|15980|339||FRM|N|N||||||NA|01|032021|263993.44|||0.00||||||||||||||||||||780|780||||||0.00||0.00|7||N|032021||||A|N|||||||||||||N||7|N|CIRT 2020-1|N|7|||7|
5125|94751883|122024|R|Other|Other|FANNIE MAE|3.875|3.875|218000.00|217000.00|195544.31|360|082019|112019|62|298|298|102049|75|75|2|17|735|725|N|R|PU|1|P|CO|17820|809||FRM|N|N|||00|000000000000000000000000000000000000000000000000|N|NA||||||390.07||||||||||||||||||||709|698|782|787||N||0.00||0.00|7||N|||||A|N|||||||||||||N||7|N|CIRT 2020-1||7|||7|195544.31
5125|94751884|122024|R|Other|Other|FANNIE MAE|3.250|3.250|356000.00|353000.00|308076.21|360|072019|092019|64|296|286|082049|80|80|2|20|763|763|Y|P|SF|1|P|CA|40900|958||FRM|N|N|||00|000000000000000000000000000000000000000000000000|N|NA||||||797.80||||||||||||||||||||756|712|787|762||N||0.00||0.00|7||N|||||A|N|||||||||||||N||7|N|CIRT 2020-1||7|||7|308076.21
